tweet_id,rating_numerator,rating_denominator,name,stages,year,month,day,favorite_count,retweet_count,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
824663926340194305,13,10,Wilson,,2017,January,Thursday,11113,1993,1,English_Setter,0.526488,True,Golden_Retriever,0.402815,True,Irish_Setter,0.0344178,True
824325613288833024,13,10,,pupper,2017,January,Wednesday,12999,11848,1,Pembroke,0.990793,True,Cardigan,0.00891939,True,Basenji,0.000262264,True
823939628516474880,12,10,Cash,,2017,January,Tuesday,11755,3123,1,Schipperke,0.234076,True,Curly-Coated_Retriever,0.193093,True,Labrador_Retriever,0.0951966,True
823699002998870016,12,10,Winston,,2017,January,Tuesday,13826,2772,1,Cairn,0.203999,True,Snorkel,0.171893,False,Norfolk_Terrier,0.107543,True
823581115634085888,11,10,Crawford,,2017,January,Monday,14376,3031,1,Dingo,0.280949,False,German_Shepherd,0.194044,True,Pembroke,0.120051,True
823322678127919110,11,10,Wyatt,,2017,January,Monday,17437,4637,2,Cowboy_Boot,0.990253,False,Chihuahua,0.00183635,True,Papillon,0.0012739,True
823269594223824897,11,10,,,2017,January,Sunday,0,11421,1,Samoyed,0.585441,True,Pomeranian,0.193654,True,Arctic_Fox,0.0716476,False
822975315408461824,12,10,Albus,,2017,January,Sunday,19139,3958,1,Bathtub,0.331098,False,Tub,0.24886,False,Pembroke,0.2331619999999999,True
822872901745569793,13,10,,puppo,2017,January,Saturday,132810,48265,1,Lakeland_Terrier,0.196015,True,Labrador_Retriever,0.160329,True,Irish_Terrier,0.0691262,True
822859134160621569,12,10,Hobbes,,2017,January,Saturday,14576,2622,1,Malinois,0.332897,True,Chihuahua,0.104116,True,Staffordshire_Bullterrier,0.0477449999999999,True
